"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","COL","Colombia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2013","2013","RATIO","Ratio","0","Units",,,41.27,,
"1","Country","COL","Colombia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2014","2014","RATIO","Ratio","0","Units",,,41.74,,
"1","Country","COL","Colombia","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2013","2013","IDX","Index","0","Units","2001_100","2001=100",115.4,,
"1","Country","COL","Colombia","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2014","2014","IDX","Index","0","Units","2001_100","2001=100",116.8,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2002","2002","RATIO","Ratio","0","Units",,,332.21,"E","Estimated value"
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2002","2002","IDX","Index","0","Units","2001_100","2001=100",102.3,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2003","2003","RATIO","Ratio","0","Units",,,339.53,"E","Estimated value"
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2003","2003","IDX","Index","0","Units","2001_100","2001=100",104.5,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2004","2004","RATIO","Ratio","0","Units",,,346.85,"B","Break"
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2004","2004","IDX","Index","0","Units","2001_100","2001=100",106.8,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2005","2005","RATIO","Ratio","0","Units",,,352.33,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2005","2005","IDX","Index","0","Units","2001_100","2001=100",108.4,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2006","2006","RATIO","Ratio","0","Units",,,357.71,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2006","2006","IDX","Index","0","Units","2001_100","2001=100",110.1,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2007","2007","RATIO","Ratio","0","Units",,,361.21,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2007","2007","IDX","Index","0","Units","2001_100","2001=100",111.2,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2008","2008","RATIO","Ratio","0","Units",,,367,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2008","2008","IDX","Index","0","Units","2001_100","2001=100",113,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2009","2009","RATIO","Ratio","0","Units",,,372.1,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2009","2009","IDX","Index","0","Units","2001_100","2001=100",114.5,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2010","2010","RATIO","Ratio","0","Units",,,379.34,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2010","2010","IDX","Index","0","Units","2001_100","2001=100",116.8,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2012","2012","RATIO","Ratio","0","Units",,,389.78,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2012","2012","IDX","Index","0","Units","2001_100","2001=100",120,,
"1","Country","IND","India","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2013","2013","RATIO","Ratio","0","Units",,,394.85,,
"1","Country","IND","India","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2013","2013","IDX","Index","0","Units","2001_100","2001=100",121.5,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2001","2001","RATIO","Ratio","0","Units",,,20.52,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2001","2001","IDX","Index","0","Units","2001_100","2001=100",100,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2002","2002","RATIO","Ratio","0","Units",,,20.81,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2002","2002","IDX","Index","0","Units","2001_100","2001=100",101.4,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2003","2003","RATIO","Ratio","0","Units",,,21.09,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2003","2003","IDX","Index","0","Units","2001_100","2001=100",102.8,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2004","2004","RATIO","Ratio","0","Units",,,21.37,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2004","2004","IDX","Index","0","Units","2001_100","2001=100",104.1,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2005","2005","RATIO","Ratio","0","Units",,,21.64,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2005","2005","IDX","Index","0","Units","2001_100","2001=100",105.5,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2006","2006","RATIO","Ratio","0","Units",,,21.9,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2006","2006","IDX","Index","0","Units","2001_100","2001=100",106.7,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2007","2007","RATIO","Ratio","0","Units",,,22.16,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2007","2007","IDX","Index","0","Units","2001_100","2001=100",108,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2008","2008","RATIO","Ratio","0","Units",,,22.41,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2008","2008","IDX","Index","0","Units","2001_100","2001=100",109.2,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2009","2009","RATIO","Ratio","0","Units",,,22.67,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2009","2009","IDX","Index","0","Units","2001_100","2001=100",110.5,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2010","2010","RATIO","Ratio","0","Units",,,22.92,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2010","2010","IDX","Index","0","Units","2001_100","2001=100",111.7,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2011","2011","RATIO","Ratio","0","Units",,,23.18,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2011","2011","IDX","Index","0","Units","2001_100","2001=100",113,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2012","2012","RATIO","Ratio","0","Units",,,23.45,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2012","2012","IDX","Index","0","Units","2001_100","2001=100",114.3,,
"1","Country","PER","Peru","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2013","2013","RATIO","Ratio","0","Units",,,23.71,,
"1","Country","PER","Peru","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2013","2013","IDX","Index","0","Units","2001_100","2001=100",115.5,,
"1","Country","NZL","New Zealand","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,17.35,,
"1","Country","NZL","New Zealand","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",118.4,,
"1","Country","AUS","Australia","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",123.6,,
"1","Country","HUN","Hungary","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,107.16,,
"1","Country","NOR","Norway","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,17.13,,
"1","Country","USA","US","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2015","2015","IDX","Index","0","Units","2001_100","2001=100",112.5,,
"1","Country","ISR","Israel","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",131.6,,
"1","Country","JPN","Japan","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",99.7,,
"1","Country","PRT","Portugal","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,113.09,,
"1","Country","ISL","Iceland","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",117.4,,
"1","Country","NLD","Netherlands","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,502.55,,
"1","Country","ISR","Israel","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2016","2016","RATIO","Ratio","0","Units",,,391.05,,
"1","Country","JPN","Japan","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2017","2017","RATIO","Ratio","0","Units",,,339.22,,
"1","Country","SWE","Sweden","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,24.85,,
"1","Country","HRV","Croatia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,73.45,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2010","2010","RATIO","Ratio","0","Units",,,68.3,,
"1","Country","AUS","Australia","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",125.6,,
"1","Country","AUS","Australia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2017","2017","RATIO","Ratio","0","Units",,,3.19,,
"1","Country","CAN","Canada","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2016","2016","RATIO","Ratio","0","Units",,,4.03,,
"1","Country","CZE","Czech Republic","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,137.41,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2011","2011","RATIO","Ratio","0","Units",,,69,,
"1","Country","MLT","Malta","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,1519.81,,
"1","Country","NZL","New Zealand","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2016","2016","IDX","Index","0","Units","2001_100","2001=100",120.9,,
"1","Country","ISR","Israel","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2017","2017","RATIO","Ratio","0","Units",,,398.68,,
"1","Country","JPN","Japan","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,340.29,,
"1","Country","SVK","Slovak Republic","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,111.76,,
"1","Country","ESP","Spain","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,92.82,,
"1","Country","KOR","South Korea","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,512.91,,
"1","Country","MEX","Mexico","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2015","2015","RATIO","Ratio","0","Units",,,61.76,,
"1","Country","EU28","European Union (28 countries)","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2013","2013","RATIO","Ratio","0","Units",,,116.22,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2013","2013","RATIO","Ratio","0","Units",,,70.43,,
"1","Country","AUS","Australia","POP_DEN_GR","    Population density growth index (2001=100)","T","Total","AVG","National average","2017","2017","IDX","Index","0","Units","2001_100","2001=100",127.6,,
"1","Country","POL","Poland","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,123.61,,
"1","Country","TUN","Tunisia","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2016","2016","RATIO","Ratio","0","Units",,,73.07,,
"1","Country","AUT","Austria","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,106.91,,
"1","Country","BEL","Belgium","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,374.33,,
"1","Country","DEU","Germany","POP_DEN","    Population density (pop. per km2)","T","Total","AVG","National average","2018","2018","RATIO","Ratio","0","Units",,,234.34,,
